Tahun,Produksi (ton),Kategori,Harga Beras (Rp/Kg),Harga Gabah (Rp/Kg),Margin Absolut (Rp/Kg),Margin Persentase (%),Konversi GKG-Beras,Biaya Konversi Per Kg (Rp),Efficiency Score,Kategori Efisiensi
2021,1600449.83,Beras Kualitas Bawah I,9937.5,5118.505,4818.995,94.14848671633611,0.65,7413.838461538461,5.851513283663891,Kurang Efisien
2021,1600449.83,Beras Kualitas Bawah Ii,9562.5,5118.505,4443.995,86.82212872704042,0.65,6836.915384615384,13.177871272959578,Kurang Efisien
2021,1600449.83,Beras Kualitas Medium I,10891.666666666666,5118.505,5773.161666666666,112.78999760021071,0.65,8881.787179487179,-12.789997600210711,Kurang Efisien
2021,1600449.83,Beras Kualitas Medium Ii,10620.833333333334,5118.505,5502.328333333334,107.49873905238607,0.65,8465.120512820513,-7.498739052386071,Kurang Efisien
2021,1600449.83,Beras Kualitas Super I,12108.333333333334,5118.505,6989.828333333334,136.55995907659235,0.65,10753.582051282052,-36.55995907659235,Kurang Efisien
2021,1600449.83,Beras Kualitas Super Ii,11654.166666666668,5118.505,6535.661666666668,127.6869255117787,0.65,10054.864102564105,-27.686925511778696,Kurang Efisien
2022,1564314.2242857143,Beras Kualitas Bawah I,8987.499999999998,5549.825,3437.6749999999984,61.9420432175789,0.65,5288.730769230767,38.0579567824211,Kurang Efisien
2022,1564314.2242857143,Beras Kualitas Bawah Ii,7933.333333333334,5549.825,2383.508333333334,42.94745029497929,0.65,3666.9358974358984,57.05254970502071,Kurang Efisien
2022,1564314.2242857143,Beras Kualitas Medium I,9879.166666666666,5549.825,4329.341666666666,78.00861588728773,0.65,6660.52564102564,21.991384112712268,Kurang Efisien
2022,1564314.2242857143,Beras Kualitas Medium Ii,8816.666666666666,5549.825,3266.8416666666662,58.863868079924444,0.65,5025.910256410256,41.136131920075556,Kurang Efisien
2022,1564314.2242857143,Beras Kualitas Super I,10929.166666666668,5549.825,5379.341666666668,96.92813136750561,0.65,8275.910256410258,3.071868632494386,Kurang Efisien
2022,1564314.2242857143,Beras Kualitas Super Ii,9633.333333333332,5549.825,4083.5083333333323,73.57904678676053,0.65,6282.320512820511,26.42095321323947,Kurang Efisien
2023,1384179.9023076922,Beras Kualitas Bawah I,12479.166666666666,6819.74,5659.426666666666,82.98595938652598,0.65,8706.810256410256,17.014040613474023,Kurang Efisien
2023,1384179.9023076922,Beras Kualitas Bawah Ii,12208.333333333334,6819.74,5388.593333333334,79.01464474207718,0.65,8290.143589743591,20.98535525792282,Kurang Efisien
2023,1384179.9023076922,Beras Kualitas Medium I,13637.5,6819.74,6817.76,99.97096663509166,0.65,10488.861538461539,0.02903336490834363,Kurang Efisien
2023,1384179.9023076922,Beras Kualitas Medium Ii,13387.5,6819.74,6567.76,96.30513773252353,0.65,10104.246153846154,3.6948622674764664,Kurang Efisien
2023,1384179.9023076922,Beras Kualitas Super I,14916.666666666666,6819.74,8096.926666666666,118.72779118656527,0.65,12456.810256410256,-18.72779118656527,Kurang Efisien
2023,1384179.9023076922,Beras Kualitas Super Ii,14416.666666666666,6819.74,7596.926666666666,111.396133381429,0.65,11687.579487179486,-11.396133381428996,Kurang Efisien
2024,1362685.914102564,Beras Kualitas Bawah I,14125.0,7406.219999999999,6718.780000000001,90.71807210695876,0.65,10336.584615384616,9.281927893041242,Kurang Efisien
2024,1362685.914102564,Beras Kualitas Bawah Ii,13866.666666666668,7406.219999999999,6460.4466666666685,87.23001297107929,0.65,9939.148717948721,12.76998702892071,Kurang Efisien
2024,1362685.914102564,Beras Kualitas Medium I,15404.166666666668,7406.219999999999,7997.9466666666685,107.98959073139427,0.65,12304.533333333336,-7.989590731394273,Kurang Efisien
2024,1362685.914102564,Beras Kualitas Medium Ii,15245.833333333332,7406.219999999999,7839.613333333333,105.85174803521005,0.65,12060.943589743589,-5.851748035210051,Kurang Efisien
2024,1362685.914102564,Beras Kualitas Super I,16737.5,7406.219999999999,9331.28,125.99247659399803,0.65,14355.815384615385,-25.992476593998035,Kurang Efisien
2024,1362685.914102564,Beras Kualitas Super Ii,16245.833333333334,7406.219999999999,8839.613333333335,119.35391243216291,0.65,13599.40512820513,-19.353912432162915,Kurang Efisien
