,count,mean,std,min,25%,50%,75%,max,CV (%),Skewness,Kurtosis
Tahun,24.0,2022.5,1.1420804814403216,2021.0,2021.75,2022.5,2023.25,2024.0,0.06,0.0,-1.394
Produksi (ton),24.0,1477907.4676739927,107796.4519898944,1362685.914102564,1378806.4052564101,1474247.0632967032,1573348.1257142858,1600449.83,7.29,0.03,-2.094
Harga Beras (Rp/Kg),24.0,12234.375,2544.838911907861,7933.333333333334,9922.916666666666,12158.333333333334,14197.916666666666,16737.5,20.8,0.102,-1.131
Harga Gabah (Rp/Kg),24.0,6223.572499999999,945.8165100048876,5118.505,5441.995,6184.782499999999,6966.36,7406.219999999999,15.2,0.071,-1.835
Margin Absolut (Rp/Kg),24.0,6010.802499999999,1806.2271967886775,2383.508333333334,4725.245,6116.804166666667,7141.602916666667,9331.28,30.05,-0.121,-0.553
Margin Persentase (%),24.0,95.97132659389155,23.172034907952817,42.94745029497929,81.99313072541378,96.61663455001457,111.74459943612443,136.55995907659235,24.14,-0.389,-0.123
Konversi GKG-Beras,24.0,0.65,2.2682030407461493e-16,0.65,0.65,0.65,0.65,0.65,0.0,0.0,0.0
Biaya Konversi Per Kg (Rp),24.0,9247.388461538461,2778.8110719825804,3666.9358974358975,7269.607692307692,9410.46794871795,10987.08141025641,14355.815384615384,30.05,-0.121,-0.553
Efficiency Score,24.0,4.028673406108466,23.172034907952817,-36.55995907659235,-11.744599436124425,3.3833654499854258,18.006869274586222,57.05254970502071,575.18,0.389,-0.123
